,description
1801,"Branch Street Coffee Roasters
Ethiopia Yirgacheffe Natural Anaerobic
|Roaster Location:
|Youngstown, Ohio
|Coffee Origin:
|Gedeb District, Gedeo Zone, southern Ethiopia
|Roast Level:
|Light
|Agtron:
|64/84
|Est. Price:
|$20.00/12 ounces
|Review Date:
|October 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Fruit-forward, tropical. Passionfruit, cocoa nib, ginseng, amber, pineapple kefir in aroma and cup. Bright balanced acidity; vibrant, silky mouthfeel. Long, resonant, fruity finish.
Notes
Southern Ethiopia coffees like this one are largely produced from selections of traditional Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural anaerobic method in which the coffee is fermented in the whole fruit with limited access to oxygen before drying. Branch Street Coffee Roasters is a small-batch specialty coffee roaster in Youngstown, Ohio. Visit www.branchstreetcoffee.com for more information.
Bottom Line
A rich-toned, deeply sweet anaerobic natural Ethiopia with juicy-bright acidity.
Explore Similar Coffees
Click here for more reviews from Branch Street Coffee Roasters
Click here for more information about coffees from Ethiopia"
1802,"Sunny's Coffee
Ethiopia Guji Uraga Yabitu
|Roaster Location:
|Tochigi, Japan
|Coffee Origin:
|Guji Zone, Oromia Region, southern Ethiopia
|Roast Level:
|Light
|Agtron:
|63/81
|Est. Price:
|¥1280/100 grams
|Review Date:
|May 2021
|Aroma:
|8
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Citrusy and sweetly herbaceous, cocoa-toned. Cocoa nib, marjoram, pink grapefruit zest, nougat, cedar in aroma and cup. Sweetly savory with juicy acidity; silky-smooth mouthfeel. The finish consolidates to notes of cocoa nib, marjoram and nougat.
Notes
Guji is nestled next to Ethiopia's better-known Yirgacheffe and Sidamo growing regions. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Sunny’s Coffee is a café and roastery in the Tochigi Prefecture specializing in craft-roasted coffees and house-made food. Visit sunnyscoffee.thebase.in for more information.
Bottom Line
A quietly complex washed Guji coffee: crisp, smooth, richly drying and balanced.
Explore Similar Coffees
Click here for more reviews from Sunny's Coffee
Click here for more information about coffees from Ethiopia"
1803,"Merge Coffee Company
Ethiopia Guji Odo Shakiso
|Roaster Location:
|Harrisonburg, Virginia
|Coffee Origin:
|Guji Zone, Oromia Region, southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|60/76
|Est. Price:
|$17.99/ 12 ounces
|Review Date:
|April 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Gently sweet-tart, complexly layered. Dried blackberry, honeysuckle, hazelnut butter, cocoa nib, a hint of wine barrel in aroma and cup. Sweetly tart structure with winey acidity; full, syrupy-smooth mouthfeel. Finish consolidates to notes of hazelnut butter and cocoa nib with undertones of blackberry.
Notes
Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with washed coffees. Merge is a specialty coffee roaster in Harrisonburg, Virginia dedicated to ethical sourcing of high-quality coffees. Visit www.mergecoffeeco.com for more information.
Bottom Line
A fruit-forward, natural-processed Guji cup with a hint of sweet ferment and deep nut and cocoa undertones.
Explore Similar Coffees
Click here for more reviews from Merge Coffee Company
Click here for more information about coffees from Ethiopia"
1804,"|Roaster Location:
|Durango, Colorado
|Coffee Origin:
|San Martin Jilotepeque, Chimaltenango Department, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|59/78
|Est. Price:
|$18.95/12 ounces
|Review Date:
|February 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Berry-driven, brightly sweet-tart. Berry melange, cocoa nib, amber, cedar, a hint of sassafras in aroma and cup. Complex, bittersweet structure with juicy acidity; very full, syrupy mouthfeel. The long, resonant finish centers around cocoa nib and raspberry notes.
Notes
Produced by Juan Luis Barrios Ortega of Finca Retiro del Quisaya from trees of the Bourbon, Typica and Pache varieties of Arabica, and processed by the natural method (dried in the whole fruit). Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information.
Bottom Line
A fruit-forward natural-processed Guatemala cup complicated by resiny amber-like notes and a rich cocoa throughline.
Explore Similar Coffees
Click here for more reviews from Durango Coffee Company
Click here for more information about coffees from Guatemala"
1805,"|Roaster Location:
|Minneapolis, Minnesota
|Coffee Origin:
|Valle del Cauca Department, Colombia
|Roast Level:
|Medium-Light
|Agtron:
|62/78
|Est. Price:
|$30.00/12 ounces
|Review Date:
|December 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Floral-toned, richly sweet, balanced. Narcissus, dark chocolate, red plum, almond brittle, cedar in aroma and cup. Sweet-tart structure with brisk acidity; very full, syrupy mouthfeel. The crisply sweet finish leads with notes of plum and chocolate with cedar undertones.
Notes
Produced at Granja Paraiso entirely of the Colombia variety of Arabica, and processed by the traditional washed method with Saccromyces Pastorianus yeast added during the ferment step. Decaffeinated at origin in Colombia using ethyl acetate, an organic compound derived from sugar cane. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.
Bottom Line
An extraordinary decaf coffee — richly floral, crisply chocolaty, with high-toned stone fruit notes throughout.
Explore Similar Coffees
Click here for more reviews from Paradise Roasters
Click here for more information about coffees from Colombia"
1806,"|Roaster Location:
|Chia-Yi, Taiwan
|Coffee Origin:
|Ethiopia; Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|56/74
|Est. Price:
|NT$ 290/8 ounces
|Review Date:
|December 2023
|Aroma:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Complex, floral-toned. Lavender, pear, kumquat, marjoram, pistachio in aroma and small cup. Silky, viscous mouthfeel; sweetly herbaceous, citrusy finish. In three parts milk, rich, nutty, floral.
Notes
A blend of coffees from Ethiopia and Guatemala, roasted for espresso applications. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.
Bottom Line
This multi-layered espresso blend has a lavender throughline with supporting notes of pear and pistachio and hints of sweet marjoram.
Explore Similar Coffees
Click here for more reviews from Kakalove Cafe"
1807,"Speckled Ax
Guatemala Valentón
|Roaster Location:
|Portland, Maine
|Coffee Origin:
|Villa Canales, Guatemala Department, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|60/77
|Est. Price:
|$20.00/12 ounces
|Review Date:
|November 2022
|Aroma:
|8
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|7
Blind Assessment
Very sweet, intricately balanced. Milk chocolate, pineapple, nougat, oak, lily in aroma and cup. Sweet-toned with very balanced acidity; crisp, lightly satiny mouthfeel. There’s a hint of sweet chocolate in the gently drying finish that’s predominated by aromatic wood notes.
Notes
Produced by Elda Argueta, a smallholding farmer in San Jose El Valentón, from trees of the Caturra and Pache Verde varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Speckled Ax is a roaster based in Portland, Maine, specializing in high-quality certified organic and small-lot coffees. The company roasts in a vintage wood-fired Petroncini roaster with the goal of highlighting each coffee’s best attributes. Visit www.speckledax.com for more information.
Bottom Line
A friendly, accessible Guatemala cup, sweetly chocolaty and richly floral.
Explore Similar Coffees
Click here for more reviews from Speckled Ax
Click here for more information about coffees from Guatemala
This review originally appeared in the November, 2022 tasting report: Celebrating Traditional Excellence: Classic Coffees from Central America"
1808,"Peet's Coffee
Arabian Mocha-Java Dark Roast
|Roaster Location:
|Berkeley, California
|Coffee Origin:
|Africa/Arabia, Indo-Pacific
|Roast Level:
|Dark
|Agtron:
|37/40
|Est. Price:
|$19.95/16 ounces
|Review Date:
|June 2023
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|8
|Aftertaste:
|7
Blind Assessment
Roasty, rich, earthy-sweet. Cocoa powder, tamarind, scorched cedar, cashew brittle, fresh humus in aroma and cup. Gentle, round acidity; plush, syrupy mouthfeel. Gently drying finish with notes of cocoa powder and scorched cedar.
Notes
Peet’s Coffee, now a national chain, was founded by Alfred Peet in 1966, making it one of the first and most influential specialty coffee roasters in the U.S. Visit www.peets.com for more information.
Bottom Line
A dark-roasted twist on the Mocha Java blend from a national chain that is a widely accessible go-to in the U.S. when you’re in the mood for deep, dark familiarity.
Explore Similar Coffees
Click here for more reviews from Peet's Coffee
This review originally appeared in the June, 2023 tasting report: Dark Roast Coffee 2023: The Good, the Bad, the Subtle"
1809,"|Roaster Location:
|Denver, Colorado
|Coffee Origin:
|Bandung Highlands, West Java, Indonesia
|Roast Level:
|NA
|Agtron:
|/
|Est. Price:
|$23.00/12 ounces
|Review Date:
|May 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Tangy-sweet, brisk. Concord grape, lime zest, pistachio, musky rose, sourdough rye in aroma and cup. Briskly bright in structure; full and syrupy in mouthfeel. The finish is crisp, rich and tangy-sour.
Notes
Frinsa Estate is owned by a couple, Wildan Mustofa, who directs and oversees operational activities (farms and processing) and Atieq Mustikaningtyas, who manages human resources and finances. Frinsa Estate grows, guides partnering farmers, collects, and processes specialty coffee from the Bandung highlands region. This coffee is produced from the Ateng variety of Arabica and processed by the natural method (beans are dried in the whole fruit). Corvus particularly focuses on processing methods and selective harvesting, which results in small, seasonal micro-lots of uniquely sweet, vibrant, and clean flavor profiles. For more information, visit www.corvuscoffee.com.
Bottom Line
Here the natural processing method encourages a brisk, bright cup rounded by grape, pistachio and musky flowers.
Explore Similar Coffees
Click here for more reviews from Corvus Coffee
Click here for more information about coffees from Java
This review originally appeared in the May, 2023 tasting report: Old Style and New: Coffees of Java and Bali"
1810,"|Roaster Location:
|Lee, Massachusetts
|Coffee Origin:
|Kiambu County, Kenya
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$20.95/12 ounces
|Review Date:
|September 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Richly sweet-savory, deep-toned. Red currant, cola, dark chocolate, bay leaf, violet in aroma and cup. Bright, juicy acidity; very full, syrupy smooth mouthfeel. Resonant, integrated finish centered around notes of red currant and dark chocolate.
Notes
Produced by smallholding members of the Kimaratia Farmers’ Cooperative Society (FCS), from trees of the SL28 and SL34 varieties of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery, and roasting that foregrounds the coffee and not the roast. Visit www.barringtoncoffee.com or call 800-528-0998 for more information.
Bottom Line
A juicy, deep, complex Kenya cup with characteristic currant and cola notes, complicated by sweet herb and rich chocolate throughout the profile.
Explore Similar Coffees
Click here for more reviews from Barrington Coffee Roasting Co.
Click here for more information about coffees from Kenya"
1811,"|Roaster Location:
|Antigua, Guatemala
|Coffee Origin:
|Antigua, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|57/74
|Est. Price:
|$6.00/12 ounces
|Review Date:
|August 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Crisply sweet-tart, pleasingly nutty. Red apple, almond brittle, freesia, lime zest, cedar in aroma and cup. Sweet-tart structure with brisk acidity; delicate, satiny mouthfeel. Quiet, gently nut-toned finish.
Notes
Produced at Beneficio La Esperanza from trees of the Bourbon, Caturra and Catuaí varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.
Bottom Line
A subtly nuanced Guatemala cup with crisp apple and sweet herb notes and undertones of richly sweet almond throughout.
Explore Similar Coffees
Click here for more reviews from El Gran Cafe
Click here for more information about coffees from Guatemala"
1812,"States Coffee
Ethiopia Yirgacheffe Aramo
|Roaster Location:
|Martinez, California
|Coffee Origin:
|Yirgacheffe growing region, south-central Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|58/78
|Est. Price:
|$12.00/8 ounces
|Review Date:
|December 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Bright with spice-toned florals. Star jasmine, cocoa nib, grapefruit zest, agave syrup, cedar in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, satiny mouthfeel. The satisfying finish leads with notes of star jasmine and pink grapefruit zest in the short, rounding to crisp cocoa in the long.
Notes
Southern Ethiopia coffees like this one are largely produced from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Available at any States Coffee café location in the San Francisco East Bay area. States Coffee, established in 2015, is a small-batch roastery and bakery that offers coffee, bread and baked goods. For more information on locations and hours visit www.statescoffee.com.
Bottom Line
A juicy, high-toned washed-process Ethiopia cup with a particularly pleasing acidity. Sweetly spice-toned floral notes throughout.
Explore Similar Coffees
Click here for more reviews from States Coffee
Click here for more information about coffees from Ethiopia"
1813,"|Roaster Location:
|Jersey City, New Jersey
|Coffee Origin:
|Piendamó, Cauca Department, Colombia
|Roast Level:
|Light
|Agtron:
|64/84
|Est. Price:
|$60.00/250 grams
|Review Date:
|April 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Delicately fruit-forward, complex, multi-layered. Bergamot, lychee, honeysuckle, lemon verbena, sandalwood in aroma and cup. Bright, richly bittersweet structure with high-toned acidity; full, syrupy mouthfeel. Integrated, flavor-laden finish.
Notes
Produced by Wilton Benitez entirely of the Geisha variety of Arabica. Processed by the kōji method, in which the coffee fruit is first sterilized and then fermented in a bio-reactor and inoculated with a selection of Japanese kōji (Aspergillus oryzae). This mold species breaks down starch into simple sugars and is commonly used in the production of soy sauce, miso, sake and shōchū. After whole-fruit fermentation, the coffee is pulped and subjected to a second fermentation phase. A bean-sealing process follows, carried out through impacts of hot and cold water, before the beans are dried by machine for 46 hours. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.
Bottom Line
Balanced, deep, elegant and inviting, this experimentally processed Geisha is characterized by tropical fruit, bittersweet citrus, and rich aromatic wood notes.
Explore Similar Coffees
Click here for more reviews from modcup coffee
Click here for more information about coffees from Colombia"
1814,"|Roaster Location:
|Chicago, Illinois
|Coffee Origin:
|Yirgacheffe growing region, southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|62/78
|Est. Price:
|$27.00/12 ounces
|Review Date:
|August 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Deeply aromatic, rich-toned. Bergamot, nectarine, cocoa nib, hazelnut butter, wisteria in aroma and cup. Sweetly spice-toned with juicy, integrated acidity; silky, viscous mouthfeel. Balanced, long, very bright finish.
Notes
Produced by smallholding farmers, from trees of indigenous landrace varieties of Arabica long grown in the region, and processed by the traditional washed method (fruit skin and pulp removed before drying). Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information.
Bottom Line
A classic Ethiopia washed cup with notes of stone fruit and cocoa, supported by spice-toned citrus and rich florals.
Explore Similar Coffees
Click here for more reviews from Big Shoulders Coffee
Click here for more information about coffees from Ethiopia"
1815,"|Roaster Location:
|Minneapolis, Minnesota
|Coffee Origin:
|Ngorogoro, Tanzania
|Roast Level:
|Light
|Agtron:
|60/84
|Est. Price:
|$24.95/12 ounces
|Review Date:
|June 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Deep, complex, aromatically enticing. Red currant, almond brittle, hop flowers, pink grapefruit zest, molasses in aroma and cup. Richly bittersweet, balanced structure with elegant, bright acidity; very syrupy, viscous mouthfeel. Resonant, long, flavor-laden finish with appealing complexity.
Notes
Produced by the Meyer Family of Nglia Estate entirely of the SL28 variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.
Bottom Line
A Tanzania produced from trees of the SL28 variety so closely associated with Kenya, and reminiscent of the best Kenyas with its nectar-like sweetness, deep complexity, and a surprising and disarming levity.
Explore Similar Coffees
Click here for more reviews from Paradise Roasters
Click here for more information about coffees from Tanzania"
1816,"|Roaster Location:
|Floyd, Virginia
|Coffee Origin:
|Cantón El Tunel, La Palma, Chalatenango, El Salvador
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$24.99/12 ounces
|Review Date:
|February 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Richly sweet-savory. Mulberry, lemon verbena, dark chocolate, pink grapefruit zest, magnolia in aroma and cup. Crisply sweet structure with vibrant, balanced acidity; plush, syrupy mouthfeel. Chocolaty finish with undertones of magnolia and pink grapefruit zest.
Notes
Produced by Ever and Norelvia Diaz of Finca Mileydi, entirely of the Pacamara variety of Arabica, and processed by the semi-washed or honey method (skins are removed but at least some of the sticky fruit flesh is allowed to dry on the beans). The coffee won first place in the 2021 El Salvador Cup of Excellence. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.
Bottom Line
A rich-toned, floral and chocolaty Pacamara cup with ballast from notes of bittersweet citrus zest.
Explore Similar Coffees
Click here for more reviews from Red Rooster Coffee Roaster
Click here for more information about coffees from Ethiopia"
1817,"Beanberry Coffee
Peru Olga Calle Organic
|Roaster Location:
|Woking, Surrey, England
|Coffee Origin:
|Cajamarca, Peru
|Roast Level:
|Medium-Light
|Agtron:
|55/72
|Est. Price:
|GBP 13.50/250 grams
|Review Date:
|November 2023
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|7
Blind Assessment
Chocolaty, crisply floral-toned. Baking chocolate, lily, red plum, hazelnut, cedar in aroma and cup. Gentle, round acidity; plush, creamy mouthfeel. Sweet, chocolaty finish with undertones of hazelnut and cedar.
Notes
Produced by Olga Calle, from trees of the Caturra and Bourbon varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Beanberry Coffee has a roastery in Woking, Surrey, and two cafes, one in London and one in Kingston upon Thames. Visit www.beanberrycoffee.com for more information.
Bottom Line
A friendly, balanced washed Peru cup, rich-toned and quite chocolaty.
Explore Similar Coffees
Click here for more reviews from Beanberry Coffee
Click here for more information about coffees from Peru"
1818,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|San Isidro, Acevedo, Huila, Colombia
|Roast Level:
|Medium-Light
|Agtron:
|58/78
|Est. Price:
|$20.00/12 ounces
|Review Date:
|June 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweet, bright, elegant. Dark chocolate, hazelnut butter, freesia, nougat, cedar in aroma and cup. Richly sweet structure with crisp, high-toned acidity; very full, satiny mouthfeel. Finish consolidates to cocoa-toned nut and freesia supported by fresh-cut cedar.
Notes
Produced by Jhoan Manuel Vergara Ayure of Finca Las Flores, entirely of the Pink Bourbon variety of Arabica, and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.
Bottom Line
A deep, chocolaty Colombia cup with ballast from spicy florals and sweet, creamy nut.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Colombia"
1819,"|Roaster Location:
|Taipei, Taiwan
|Coffee Origin:
|Guji Zone, Oromia Region, southern Ethiopia
|Roast Level:
|Light
|Agtron:
|62/80
|Est. Price:
|$10.00/4 ounces
|Review Date:
|October 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Floral-toned, richly fruity. Narcissus, watermelon candy, dark chocolate, amber, clove in aroma and cup. Sweet-savory structure with winey acidity; very full, syrupy mouthfeel. Resonant, long, flavor-laden finish.
Notes
Produced by Tamiru Tadesse from indigenous landrace selections of Arabica long grown in the region, and processed by the anaerobic natural method, in which the whole fruit is fermented with limited oxygen before drying. Euphora Coffee is a Taipei-based specialty coffee roaster with an active online community through which all sales are made. Visit www.euphoracoffeestudio.com for more information.
Bottom Line
A multi-layered, deeply rich, complex Ethiopia processed by the anaerobic natural method, with a candy-like sweetness and spicy floral resonance.
Explore Similar Coffees
Click here for more reviews from Euphora Coffee
Click here for more information about coffees from Ethiopia"
1820,"|Roaster Location:
|Topeka, Kansas
|Coffee Origin:
|Kochere, Yirgacheffe growing region, south-central Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$19.50/12 ounces
|Review Date:
|October 2020
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Delicate, spice-toned, richly aromatic. Narcissus-like flowers, cocoa nib, peach, lemon verbena, a hint of eucalyptus wood in aroma and cup. High-toned, vibrant acidity; full, syrupy mouthfeel. The deep, cocoa-toned finish centers around notes of narcissus and peach.
Notes
Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-JAVA for more information.
Bottom Line
A delicate, spice-forward washed Yirgacheffe cup with deep, sweet-herbal aromatics.
Explore Similar Coffees
Click here for more reviews from PT's Coffee Roasting Co.
Click here for more information about coffees from Ethiopia"
1821,"|Roaster Location:
|Sacramento, California
|Coffee Origin:
|Puno, Sandia Valley, Peru
|Roast Level:
|Medium
|Agtron:
|52/68
|Est. Price:
|$19.00/12 ounces
|Review Date:
|February 2021
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Floral-toned, richly chocolaty. Lilac, toffee, tangerine zest, amber, apricot in aroma and cup. Bittersweet structure with delicately citrusy acidity; silky-smooth mouthfeel. The crisp finish consolidates to notes of toffee and tangerine zest with undertones of amber.
Notes
Produced by smallholding farmers from trees of the Typica, Caturra and Bourbon varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before drying). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.
Bottom Line
A resonant Peru cup with notes of deep florals, stone fruit and citrus zest.
Explore Similar Coffees
Click here for more reviews from Temple Coffee Roasters
Click here for more information about coffees from Peru"
1822,"|Roaster Location:
|Thermopolis, Wyoming
|Coffee Origin:
|Yirgacheffe growing region, southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|54/70
|Est. Price:
|$14.00/12 ounces
|Review Date:
|August 2020
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Bright, juicy, floral-toned. Narcissus, red plum, cocoa nib, bay leaf, maple syrup in aroma and cup. Gently tart structure with deep, juicy acidity; very syrupy-smooth mouthfeel. The finish leads with narcissus-like flowers and cocoa nib, with crisp maple syrup returning in the long.
Notes
Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in their respective regions. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.
Bottom Line
A floral-driven washed-process Ethiopia cup: bright, nimble, juicy, and flavor-saturated.
Explore Similar Coffees
Click here for more reviews from Jackrabbit Java
Click here for more information about coffees from Ethiopia"
1823,"|Roaster Location:
|Sacramento, California
|Coffee Origin:
|Yirgacheffe growing region, south-central Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|56/74
|Est. Price:
|$24.00/12 ounces
|Review Date:
|April 2023
|Aroma:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
|With Milk:
|9
Blind Assessment
Fruit-toned, chocolaty-rich. Boysenberry, dark chocolate, Laffy Taffy, pu’er tea, mandarinquat in aroma and small cup. Plush, creamy mouthfeel; crisply chocolaty and citrusy finish. In three parts milk, this coffee blooms and expands.
Notes
This exceptional coffee was selected as the No. 15 coffee on Coffee Review’s list of the Top 30 Coffees of 2023. Evaluated as espresso. Produced by smallholding farmers around Abeyot Ageze’s farm, from trees of the Dega and Wolisho varieties of Arabica. Processed at the Halo Beriti Washing Station by the anaerobic natural method, in which whole fruit is fermented in tanks with limited oxygen before drying, also in the whole fruit. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features selections from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.
Bottom Line
A uniquely composed single-origin Ethiopia roasted for espresso, whose anaerobic natural processing intensifies sweetness and power.
Explore Similar Coffees
Click here for more reviews from Temple Coffee
Click here for more information about coffees from Ethiopia"
1824,"Doho Coffee Roasters
Doho Classic Blend
|Roaster Location:
|Caotun, Nantou, Taiwan
|Coffee Origin:
|Ethiopia; Guatemala; Brazil
|Roast Level:
|Medium-Light
|Agtron:
|56/72
|Est. Price:
|NT $650/455 grams
|Review Date:
|January 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Crisply sweet, fruit-toned. Date, baking chocolate, cashew, orange zest, cedar in aroma and cup. Sweet-toned structure with brisk acidity; satiny-smooth mouthfeel. Nut- and cocoa-toned finish.
Notes
A blend of coffees from Ethiopia, Guatemala and Brazil. The Taiwanese pronunciation of DOHO (tú-hó) means “pure serendipity.” Doho Coffee Roasters has two stores and is dedicated to promoting coffee culture through the high quality of its products. Visit https://www.facebook.com/DOHOCAFE or call +886-49-2318777 for more information.
Bottom Line
A friendly blend with leading notes of crisp chocolate and dried fruit notes.
Explore Similar Coffees
Click here for more reviews from Doho Coffee Roasters"
